player_name	team	position	foot	goals	agg_position
Paul Ince	Wolverhampton Wanderers	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Henri Camara	Wolverhampton Wanderers	Right Midfield	Right Foot	0.0	Right Wing
Steffen Iversen	Wolverhampton Wanderers	Left Center Forward	Right Foot	0.0	Striker
Mark Kennedy	Wolverhampton Wanderers	Left Midfield	Left Foot	0.0	Left Wing
Jens Lehmann	Arsenal	Goalkeeper	Right Foot	0.0	Goalkeeper
Laureano Bisan-Etame Mayer	Arsenal	Right Back	Right Foot	0.0	Right Back
Jody Craddock	Wolverhampton Wanderers	Right Center Back	Right Foot	0.0	Center Back
Kenny Miller	Wolverhampton Wanderers	Center Forward	Right Foot	0.0	Striker
Patrick Vieira	Arsenal	Right Defensive Midfield	Right Foot	0.12	Defensive Midfield
Carl Cort	Wolverhampton Wanderers	Left Center Forward	Right Foot	0.0	Striker
Kolo Habib Touré	Arsenal	Right Center Back	Right Foot	0.03125	Center Back
Gilberto Aparecido da Silva	Arsenal	Left Defensive Midfield	Right Foot	0.1071428571428571	Defensive Midfield
Paul Butler	Wolverhampton Wanderers	Left Center Back	Right Foot	0.0	Center Back
Colin Cameron	Wolverhampton Wanderers	Left Center Midfield	Right Foot	0.0	Center Midfield
Denis Irwin	Wolverhampton Wanderers	Right Back	Right Foot	0.0	Right Back
Alex Rae	Wolverhampton Wanderers	Right Center Midfield	Right Foot	0.0	Center Midfield
Paul Jones	Wolverhampton Wanderers	Goalkeeper	Left Foot	0.0	Goalkeeper
Lee Naylor	Wolverhampton Wanderers	Left Back	Left Foot	0.0	Left Back
Ioan Viorel Ganea	Wolverhampton Wanderers	Right Center Forward	Right Foot	1.0	Striker
"Sulzeer Jeremiah ""Sol"" Campbell"	Arsenal	Left Center Back	Right Foot	0.0	Center Back
Dennis Bergkamp	Arsenal	Right Center Forward	Right Foot	0.1538461538461538	Striker
Timothy Castagne	Belgium	Right Wing Back	Right Foot	0.0	Right Back
Anton Shunin	Russia	Goalkeeper	Left Foot	0.0	Goalkeeper
Andrey Semenov	Russia	Right Center Back	Right Foot	0.0	Center Back
